0.0000000000 0.9980000000 
50.0000000000 0.9981092320 
100.0000000000 1.0000000000 
150.0000000000 1.0000000000 
200.0000000000 1.0000000000 
250.0000000000 0.9977906480 
300.0000000000 0.9929417225 
350.0000000000 0.9758646805 
400.0000000000 0.9473641397 
450.0000000000 0.9106811943 
500.0000000000 0.8534891422 
550.0000000000 0.7820175630 
600.0000000000 0.6854001018 
650.0000000000 0.5609174452 
700.0000000000 0.3783400837 
750.0000000000 0.2345436168 
800.0000000000 0.1976934960 
850.0000000000 0.1751701333 
900.0000000000 0.1601223103 
950.0000000000 0.1453344785 
