0.0000000000 0.0012408755 
50.0000000000 0.0214791250 
100.0000000000 0.0000000000 
150.0000000000 0.0000000000 
200.0000000000 0.0034465892 
250.0000000000 0.0075643240 
300.0000000000 0.0266401852 
350.0000000000 0.0444608435 
400.0000000000 0.0572253950 
450.0000000000 0.0892196010 
500.0000000000 0.1114956637 
550.0000000000 0.1507232395 
600.0000000000 0.1941929441 
650.0000000000 0.2848206840 
700.0000000000 0.2243224885 
750.0000000000 0.0574861884 
800.0000000000 0.0351364458 
850.0000000000 0.0234746039 
900.0000000000 0.0230690176 
