0.0000000000 1.0000000000 
50.0000000000 1.0000000000 
100.0000000000 1.0000000000 
150.0000000000 1.0000000000 
200.0000000000 1.0000000000 
250.0000000000 0.9988953240 
300.0000000000 0.9964010500 
350.0000000000 0.9875312230 
400.0000000000 0.9723868770 
450.0000000000 0.9524591550 
500.0000000000 0.9192652290 
550.0000000000 0.8741738270 
600.0000000000 0.8072286580 
650.0000000000 0.7034992900 
700.0000000000 0.4841082660 
750.0000000000 -0.0435066220 
800.0000000000 0.0010494840 
850.0000000000 -0.0051256330 
900.0000000000 0.0096614760 
950.0000000000 0.0033228550 
