0.0000000000 0.0009765625 
10.0000000000 1.0000000000 
20.0000000000 1.0000000000 
30.0000000000 1.0000000000 
40.0000000000 1.0000000000 
50.0000000000 1.0000000000 
60.0000000000 1.0000000000 
70.0000000000 1.0000000000 
80.0000000000 1.0000000000 
90.0000000000 1.0000000000 
100.0000000000 1.0000000000 
110.0000000000 1.0000000000 
120.0000000000 1.0000000000 
130.0000000000 1.0000000000 
140.0000000000 1.0000000000 
150.0000000000 1.0000000000 
160.0000000000 1.0000000000 
170.0000000000 1.0000000000 
180.0000000000 1.0000000000 
190.0000000000 1.0000000000 
200.0000000000 1.0000000000 
210.0000000000 1.0000000000 
220.0000000000 1.0000000000 
230.0000000000 1.0000000000 
240.0000000000 0.9990234375 
250.0000000000 0.9990234375 
260.0000000000 0.9990234375 
270.0000000000 0.9980468750 
280.0000000000 0.9970703125 
290.0000000000 0.9960937500 
300.0000000000 0.9951171875 
310.0000000000 0.9941406250 
320.0000000000 0.9931640625 
330.0000000000 0.9921875000 
340.0000000000 0.9902343750 
350.0000000000 0.9882812500 
360.0000000000 0.9863281250 
370.0000000000 0.9843750000 
380.0000000000 0.9824218750 
390.0000000000 0.9794921875 
400.0000000000 0.9765625000 
410.0000000000 0.9736328125 
420.0000000000 0.9707031250 
430.0000000000 0.9667968750 
440.0000000000 0.9628906250 
450.0000000000 0.9589843750 
460.0000000000 0.9550781250 
470.0000000000 0.9501953125 
480.0000000000 0.9453125000 
490.0000000000 0.9404296875 
500.0000000000 0.9345703125 
510.0000000000 0.9287109375 
520.0000000000 0.9228515625 
530.0000000000 0.9169921875 
540.0000000000 0.9101562500 
550.0000000000 0.9033203125 
560.0000000000 0.8955078125 
570.0000000000 0.8876953125 
580.0000000000 0.8798828125 
590.0000000000 0.8710937500 
600.0000000000 0.8623046875 
610.0000000000 0.8525390625 
620.0000000000 0.8427734375 
630.0000000000 0.8330078125 
640.0000000000 0.8222656250 
650.0000000000 0.8115234375 
660.0000000000 0.7998046875 
670.0000000000 0.7871093750 
680.0000000000 0.7744140625 
690.0000000000 0.7607421875 
700.0000000000 0.7470703125 
710.0000000000 0.7324218750 
720.0000000000 0.7177734375 
730.0000000000 0.7011718750 
740.0000000000 0.6845703125 
750.0000000000 0.6669921875 
760.0000000000 0.6484375000 
770.0000000000 0.6289062500 
780.0000000000 0.6083984375 
790.0000000000 0.5859375000 
800.0000000000 0.5625000000 
810.0000000000 0.5380859375 
820.0000000000 0.5117187500 
830.0000000000 0.4824218750 
840.0000000000 0.4511718750 
850.0000000000 0.4179687500 
860.0000000000 0.3798828125 
870.0000000000 0.3369140625 
880.0000000000 0.2861328125 
890.0000000000 0.2226562500 
900.0000000000 0.1308593750 
910.0000000000 0.0009765625 
920.0000000000 0.0009765625 
930.0000000000 0.0009765625 
940.0000000000 0.0009765625 
950.0000000000 0.0009765625 
960.0000000000 0.0009765625 
970.0000000000 0.0009765625 
980.0000000000 0.0009765625 
990.0000000000 0.0009765625 
